pixel,mlat,mlon,area_km,Mn.Avg.Dens,Mn.CV.Dens
291,30.1,236.4,106.8516195,4.21E-06,0.289211312
292,30.1,236.5,106.8516195,8.06E-06,0.290959862
293,30.1,236.6,106.8516195,1.54E-05,0.290613084
294,30.1,236.7,106.8516195,2.99E-05,0.288621226
295,30.1,236.8,106.8516195,4.94E-05,0.290362442
475,30.2,236.2,106.7455218,1.05E-06,0.276138311
476,30.2,236.3,106.7455218,2.00E-06,0.282361278
477,30.2,236.4,106.7455218,4.26E-06,0.281243445
478,30.2,236.5,106.7455218,8.21E-06,0.278106679
479,30.2,236.6,106.7455218,1.48E-05,0.276410278
480,30.2,236.7,106.7455218,2.92E-05,0.279813168
481,30.2,236.8,106.7455218,4.82E-05,0.28019024
482,30.2,236.9,106.7455218,7.12E-05,0.282456073
483,30.2,237,106.7455218,0.000111253,0.286621114
484,30.2,237.1,106.7455218,0.000138183,0.275466631
485,30.2,237.2,106.7455218,0.000122272,0.268461497
660,30.3,236.1,106.639099,5.25E-07,0.256132259
661,30.3,236.2,106.639099,1.10E-06,0.260611095
662,30.3,236.3,106.639099,2.54E-06,0.267347366
663,30.3,236.4,106.639099,4.83E-06,0.268792591
664,30.3,236.5,106.639099,8.65E-06,0.265884877
665,30.3,236.6,106.639099,1.47E-05,0.263050383
666,30.3,236.7,106.639099,2.75E-05,0.262772067
667,30.3,236.8,106.639099,4.84E-05,0.265404479
668,30.3,236.9,106.639099,7.04E-05,0.26850436
669,30.3,237,106.639099,9.93E-05,0.271762496
670,30.3,237.1,106.639099,0.00015264,0.266118219
671,30.3,237.2,106.639099,0.000186365,0.265132909
672,30.3,237.3,106.639099,0.000231604,0.263586344
673,30.3,237.4,106.639099,0.000262921,0.263194466
674,30.3,237.5,106.639099,0.000303372,0.258376398
845,30.4,236,106.5323512,2.62E-07,0.246783474
846,30.4,236.1,106.5323512,5.78E-07,0.250569853
847,30.4,236.2,106.5323512,1.19E-06,0.26129979
848,30.4,236.3,106.5323512,2.45E-06,0.259408412
849,30.4,236.4,106.5323512,4.60E-06,0.255626029
850,30.4,236.5,106.5323512,8.52E-06,0.252823566
851,30.4,236.6,106.5323512,1.54E-05,0.252753045
852,30.4,236.7,106.5323512,2.61E-05,0.253891926
853,30.4,236.8,106.5323512,4.42E-05,0.258996173
854,30.4,236.9,106.5323512,7.00E-05,0.261657268
855,30.4,237,106.5323512,7.66E-05,0.269576
856,30.4,237.1,106.5323512,0.000129058,0.271965998
857,30.4,237.2,106.5323512,9.43E-05,0.27251165
858,30.4,237.3,106.5323512,0.000119525,0.270284275
859,30.4,237.4,106.5323512,0.000219165,0.263702309
860,30.4,237.5,106.5323512,0.000261486,0.260851828
861,30.4,237.6,106.5323512,0.00032335,0.257654926
862,30.4,237.7,106.5323512,0.000330442,0.25247017
863,30.4,237.8,106.5323512,0.000323396,0.251986837
864,30.4,237.9,106.5323512,0.000311821,0.250951195
1030,30.5,235.9,106.4252787,1.36E-07,0.237688783
1031,30.5,236,106.4252787,2.98E-07,0.243325489
1032,30.5,236.1,106.4252787,6.23E-07,0.249436183
1033,30.5,236.2,106.4252787,1.33E-06,0.255385529
1034,30.5,236.3,106.4252787,2.46E-06,0.251999045
1035,30.5,236.4,106.4252787,4.56E-06,0.244666978
1036,30.5,236.5,106.4252787,8.99E-06,0.242644853
1037,30.5,236.6,106.4252787,1.50E-05,0.243217306
1038,30.5,236.7,106.4252787,2.40E-05,0.243793973
1039,30.5,236.8,106.4252787,3.89E-05,0.252014958
1040,30.5,236.9,106.4252787,6.15E-05,0.2573733
1041,30.5,237,106.4252787,9.31E-05,0.265669483
1042,30.5,237.1,106.4252787,0.000124873,0.272580274
1043,30.5,237.2,106.4252787,9.11E-05,0.271300623
1044,30.5,237.3,106.4252787,0.00014331,0.268098745
1045,30.5,237.4,106.4252787,0.000168533,0.26509353
1046,30.5,237.5,106.4252787,0.000235498,0.26672237
1047,30.5,237.6,106.4252787,0.000298147,0.26677701
